id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,cancellation_policy,amenities
10327517,Luxury 1BR|1BA+porch MGH/BeaconHill,53144645,Stephanie,,West End,42.36512257,-71.06859844,Entire home/apt,4,1,1,1,135,,,1,0,,,1,0,flexible,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Pets Allowed"",Doorman,Gym,""Pets live on this property"",Dog(s),""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}"
8309711,"Comfortable, sunny full 2BR condo",43810746,John,,Beacon Hill,42.36115666,-71.06603416,Entire home/apt,4,1,2,2,275,,30.00,1,29,8/22/16,2.76,1,309,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}"
5659866,Spacious Beacon Hill Apt!,280497,Sarah,,Beacon Hill,42.35781633,-71.06665887,Entire home/apt,4,2.5,2,1,200,,,1,4,4/19/16,0.24,1,95,moderate,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""24-Hour Check-in""}"
4900659,Comfortable 1 BR in Beacon Hill,5873558,Alan,,Beacon Hill,42.36062693,-71.06580134,Entire home/apt,2,1,1,1,177,,20.00,1,30,8/30/16,1.51,1,308,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
7928656,Studio at Beacon Hill / MGH,41383849,Hweekyoung,,Beacon Hill,42.3593429,-71.06879856,Entire home/apt,4,1,1,2,150,,,1,0,,,1,0,flexible,"{""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers,""Hair Dryer""}"
9386847,Beacon Hill Classic Downtown Boston,27446821,Jean-Pierre,,Beacon Hill,42.359355,-71.06436762,Entire home/apt,5,1,2,2,220,,,1,0,,,1,0,flexible,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",Essentials,Shampoo,Iron,""Laptop Friendly Workspace""}"
6444148,Chic Beacon Hill One Bed Apt,3023813,C. Max,,Beacon Hill,42.35997591,-71.06678112,Entire home/apt,2,1,1,1,155,100,,1,24,8/31/16,1.73,2,302,strict,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
6488924,Beacon Hill Brown Stone,33910770,Jp,,Beacon Hill,42.36029553,-71.06958376,Private room,1,1,1,1,150,,,1,0,,,1,365,flexible,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}"
9232355,Perfect Location Beacon Hill Studio,5618949,Alan,,Beacon Hill,42.3583922,-71.06437784,Entire home/apt,2,1,0,2,89,100,40.00,1,36,7/29/16,3.54,11,333,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
11202183,Second Oldest Home in Beacon Hill,58330337,Norah,,Beacon Hill,42.35772102,-71.06628546,Entire home/apt,3,1,0,2,199,,30.00,1,20,9/2/16,7.23,1,118,moderate,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Pets Allowed"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
4718577,Private Room in Beacon Hill,8924578,Matteo,,Beacon Hill,42.35766203,-71.0706934,Private room,2,1,1,1,120,,,1,11,6/26/16,0.65,2,323,flexible,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Essentials,Shampoo}"
13810937,1 Bedroom in Beacon Hill,15681500,Jay,,Beacon Hill,42.36046972,-71.06954017,Private room,1,1,1,1,85,95,10.00,1,2,7/17/16,1.09,1,0,flexible,"{""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}"
13728510,Complete Renovation! BEACON HILL!!,21184200,Paige,,Beacon Hill,42.35915095,-71.06681644,Entire home/apt,3,1,0,1,255,,50.00,1,9,8/19/16,5,24,332,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
8052494,One-bedroom Apartment Beacon Hill,42525742,Brandon,,Beacon Hill,42.35833271,-71.06717657,Entire home/apt,2,1,1,2,143,,,1,2,8/28/16,2,1,0,flexible,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}"
13433475,Beacon Hill 2bed2bath BEST LOCATION,21184200,Paige,,Beacon Hill,42.35849849,-71.06925489,Entire home/apt,8,2,2,3,267,99,65.00,1,8,8/12/16,4.29,24,343,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
2754975,Perfect Location to Explore Boston,6885890,Jonathan,,Beacon Hill,42.35756838,-71.06366055,Entire home/apt,4,1,1,2,250,,60.00,1,30,8/8/16,1.12,1,254,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
13521992,Comfy room in the heart of Boston,47283683,Alex,,Beacon Hill,42.35836714,-71.06982921,Private room,2,1,1,1,169,,40.00,1,0,,,7,340,moderate,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}"
8747720,"1 Bedroom Apt Beacon Hill, Boston",15892865,Michael,,Beacon Hill,42.35840072,-71.07021794,Entire home/apt,2,1,1,1,225,,,1,6,7/25/16,0.54,1,0,moderate,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}"
13295184,"BEACON HILL, Steps to MGH, Charles",21184200,Paige,,Beacon Hill,42.3605456,-71.06911628,Entire home/apt,6,1,2,3,200,,65.00,1,10,8/18/16,3.45,24,47,strict,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
6763785,Little Room on the Hill,35409793,Maggie,,Beacon Hill,42.36105124,-71.0667853,Private room,1,1,1,1,113,350,20.00,1,17,6/12/16,1.16,1,249,strict,"{Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Smoke Detector"",""Fire Extinguisher"",Essentials}"
14742722,Private Guest Room & Private Bath Room,79365228,Jessica,,Beacon Hill,42.35736755,-71.06513533,Private room,1,1,1,1,100,,25.00,1,1,9/1/16,1,2,152,strict,"{Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
8384444,Charming Escape in Beacon Hill,14587487,Cara,,Beacon Hill,42.35789243,-71.06962757,Private room,2,1,1,1,130,,50.00,1,23,8/19/16,2.12,2,19,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
10611598,"Unique 1 B/B in Beacon Hill, Boston",41328752,Patrick,,Beacon Hill,42.36003478,-71.07059548,Entire home/apt,2,1,1,1,200,,,1,0,,,1,0,flexible,"{TV,""Cable TV"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Iron}"
8090623,"Beacon Hill, Guestroom with private bath",42726977,Thomas,,Beacon Hill,42.35757078,-71.07230206,Private room,2,1,1,1,199,,,1,32,8/16/16,2.72,2,353,strict,"{TV,""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
13300621,"3-Beacon Hill, MGH,  CableTV, Wifi",21184200,Paige,,Beacon Hill,42.3585165,-71.0707104,Entire home/apt,6,1,2,3,250,,65.00,1,4,8/21/16,1.46,24,48,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}"
14873017,"Bon Beacon Hill! 2 beds, close to everything!",93051119,Mary,,Beacon Hill,42.35591934,-71.07196286,Entire home/apt,4,1,1,2,220,100,50.00,1,0,,,1,71,flexible,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
11120777,"Beacon Hill, Charles St, MGH, Red T",21184200,Paige,,Beacon Hill,42.35965441,-71.07040995,Entire home/apt,8,1,2,2,200,199,65.00,1,24,8/15/16,4.16,24,322,strict,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
9235198,Charming Beacon Hill Room + Patio,47990609,Carmela,,Beacon Hill,42.36059822,-71.06801531,Private room,2,1,1,1,135,,,1,33,9/1/16,3.26,2,8,flexible,"{TV,Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}"
